Name,Count
Chutney,145
Pakora,21
Salad,175
Bhatura,16
Biryani,42
Gajar Ka Halwa,17
Poori,24
Chapati,62
Soup,21
Gulab Jamun,8
Halwa,7
Vada,28
Idli,13
Raita,62
Papad,31
Kheer,11
Khichdi,16
Malpua,5
Aloo Sabji,23
Juice,42
Naan,17
Palak Paneer,15
Paratha,29
Rice,49
Chaat,18
Sauce,21
Dal,85
Chicken Curry,47
Uttapam,8
Achar,14
Besan Chilla,6
Laddu,24
Dum Aloo,3
Cake,30
Pulao,41
Tea,17
Aloo Beans,9
Lemon Rice,11
Bhaji,9
Mysore Pak,3
Palak Corn,2
Paneer Curry,25
Fried Rice,28
Rasam,10
Upma,21
Sandwich,25
Aloo Palak,9
Apple,11
Bhindi Masala,13
Lauki Masala,5
Omelette,11
Noodles,15
Chilli Potato,3
Bread,13
Curd,22
Aloo Matar,8
Karela Sabji,5
Mysore Bonda,4
Phirni,4
Poha,15
Baigan Sabji,4
Gobhi Sabji,11
Egg Bhurji,21
